"date","name","precip","lon","lat"
2019-06-20,"Na",0.2,86.43,27.88
2019-06-20,"Simigaun",0.6,86.23,27.87
2019-06-20,"Singati",3,86.16,27.74
2019-06-21,"Beding",4,86.38,27.9
2019-06-21,"Dongang",22,86.29,27.9
2019-06-21,"Gongar",25.4,86.22,27.84
2019-06-21,"Na",0.6,86.43,27.88
2019-06-21,"Simigaun",14.4,86.23,27.87
2019-06-21,"Singati",11.4,86.16,27.74
2019-06-22,"Beding",0.4,86.38,27.9
2019-06-22,"Dongang",1.2,86.29,27.9
2019-06-22,"Gongar",7.2,86.22,27.84
2019-06-22,"Na",0,86.43,27.88
2019-06-22,"Simigaun",5.8,86.23,27.87
2019-06-22,"Singati",1.2,86.16,27.74
2019-06-23,"Beding",7,86.38,27.9
2019-06-23,"Dongang",13.4,86.29,27.9
2019-06-23,"Gongar",0.2,86.22,27.84
2019-06-23,"Na",1.8,86.43,27.88
2019-06-23,"Simigaun",1.6,86.23,27.87
2019-06-23,"Singati",18.4,86.16,27.74
2019-06-24,"Beding",0,86.38,27.9
2019-06-24,"Dongang",0,86.29,27.9
2019-06-24,"Gongar",11,86.22,27.84
2019-06-24,"Na",0,86.43,27.88
2019-06-24,"Simigaun",1,86.23,27.87
2019-06-24,"Singati",21.6,86.16,27.74
2019-06-25,"Beding",0,86.38,27.9
2019-06-25,"Dongang",8,86.29,27.9
2019-06-25,"Gongar",3.8,86.22,27.84
2019-06-25,"Na",0,86.43,27.88
2019-06-25,"Simigaun",5.2,86.23,27.87
2019-06-25,"Singati",0,86.16,27.74
2019-06-26,"Beding",0.2,86.38,27.9
2019-06-26,"Dongang",15.4,86.29,27.9
2019-06-26,"Gongar",10.2,86.22,27.84
2019-06-26,"Na",0,86.43,27.88
2019-06-26,"Simigaun",1.8,86.23,27.87
2019-06-26,"Singati",2.2,86.16,27.74
2019-06-27,"Beding",1.2,86.38,27.9
2019-06-27,"Dongang",20.8,86.29,27.9
2019-06-27,"Gongar",1.4,86.22,27.84
2019-06-27,"Na",0.6,86.43,27.88
2019-06-27,"Simigaun",1.6,86.23,27.87
2019-06-27,"Singati",0.2,86.16,27.74
2019-06-28,"Beding",0,86.38,27.9
2019-06-28,"Dongang",2,86.29,27.9
2019-06-28,"Gongar",28.6,86.22,27.84
2019-06-28,"Na",0,86.43,27.88
2019-06-28,"Simigaun",2.2,86.23,27.87
2019-06-28,"Singati",19.2,86.16,27.74
2019-06-29,"Beding",2,86.38,27.9
2019-06-29,"Dongang",5.4,86.29,27.9
2019-06-29,"Gongar",13.2,86.22,27.84
2019-06-29,"Na",2.4,86.43,27.88
2019-06-29,"Simigaun",5,86.23,27.87
2019-06-29,"Singati",14.8,86.16,27.74
2019-06-30,"Beding",1.4,86.38,27.9
2019-06-30,"Dongang",5,86.29,27.9
2019-06-30,"Gongar",42.4,86.22,27.84
2019-06-30,"Na",0.2,86.43,27.88
2019-06-30,"Simigaun",8.8,86.23,27.87
2019-06-30,"Singati",2.6,86.16,27.74
2019-07-01,"Beding",0.6,86.38,27.9
2019-07-01,"Dongang",4.2,86.29,27.9
2019-07-01,"Gongar",2.4,86.22,27.84
2019-07-01,"Na",2.8,86.43,27.88
2019-07-01,"Simigaun",1.6,86.23,27.87
2019-07-01,"Singati",0.4,86.16,27.74
2019-07-02,"Beding",0,86.38,27.9
2019-07-02,"Dongang",15.8,86.29,27.9
2019-07-02,"Gongar",35.6,86.22,27.84
2019-07-02,"Na",0,86.43,27.88
2019-07-02,"Simigaun",34,86.23,27.87
2019-07-02,"Singati",42.4,86.16,27.74
2019-07-03,"Beding",5.2,86.38,27.9
2019-07-03,"Dongang",46.4,86.29,27.9
2019-07-03,"Gongar",10.2,86.22,27.84
2019-07-03,"Na",0.6,86.43,27.88
2019-07-03,"Simigaun",10,86.23,27.87
2019-07-03,"Singati",0.2,86.16,27.74
2019-07-04,"Beding",13.8,86.38,27.9
2019-07-04,"Dongang",17.2,86.29,27.9
